type,description,students,name
会员,本次课程使用Sping4+struts2+hibernate5实现一个简单的在线考试系统。采用当下流行的注解建表映射方式，取代传统的hhibernate.cfg.xml和xxx.hbm.xml，将其整合到spring中。,262,SSH框架实现简单的在线考试系统
会员,在本课程中，你将了解如何利用 PySpark 及相关的 API 进行统计分析。最后用 SparkSQL 通过一个分析纽约市犯罪数据实例，进一步学习如何利用 Spark SQL 分析数据。本课程难度为一般，属于初级级别课程，适合具有 Spark 基础的用户，学习 Spark SQL 的基础知识。,72,使用 SparkSQL 分析纽约市犯罪数据
会员,本课程将介绍如何安装及使用 Floodlight 控制器，为将来介绍基于此控制器的 API 开发应用程序打下基础。,160,Floodlight 入门教程
会员,本课程利用Python模拟AI和玩家进行四子棋游戏，利用游戏实验Pygame库，为游戏提供界面和操作支持。AI算法借用蒙特卡洛搜索树思想。通过设置AI的难度系数，即AI所能考虑到的未来棋子的可能走向，从而选择出最佳的方案和玩家对抗。难度系数越大，AI搜索范围越广，它所能做出的决定越明智。,1081,人机对战初体验:Python基于Pygame实现四子棋游戏
会员,利用hawkes process对高频交易的订单流数据进行建模，观察不同订单之间的关系以及整体的动力学。,77,R语言对高频交易订单流进行建模分析
会员,"K-means 算法是集简单和经典于一身的基于距离的聚类算法，采用距离作为相似性的评价指标，即认为两个对象的距离越近，其相似度就越大。本节课主要讲解 K-means 算法，并给出个聚类足球比赛案例。

",265,Kmeans聚类算法评估足球比赛
会员,本课程将介绍如何用python解决数学题。 说到数学题，相信大家都不陌生，从小学到大学都跟数学打交道。 其中初中的方程组，高中的二次曲线，大学的微积分最为头疼，今天我们将使用python 来解决方程组问题，微积分问题，矩阵化简。,5086,使用 Python 解数学方程
free,"MyBatis 是支持定制化 SQL、存储过程以及高级映射的优秀的持久层框架。MyBatis 避免了几乎所有的 JDBC 代码和手动设置参数以及获取结果集。MyBatis 可以对配置和原生 Map 使用简单的 XML 或注解，将接口和 Java 的 POJOs(Plain Old Java Objects,普通的 Java对象)映射成数据库中的记录。本次课程详细介绍了 MyBatis 框架结构知识，并通过多个基础的 Demo 实例讲解了 MyBatis 的用法。",1272,MyBatis 框架基础入门
会员,"对初学者来说，cookie与session的工作机制是较难理解的知识点。express框架提供了session中间件express-session，实现了session机制。本课程学习开发一个接口与express-session相同的中间件exSession，从而透彻理解session的工作机制。
",76,实现express框架中的session中间件
会员,GARCH模型是对金融数据波动性进行描述的方法，为大量的金融序列提供了有效的分析方法，它是迄今为至最常用的、最便捷的异方差序列拟合模型。本次实验运用R语言利用上海证券综合指数进行GARCH模型的分析，包括计算股票指数的收益率，实现收益率的可视化 ，计算一些基本统计量，绘制股指收益率的ACF和PACF图，检验收益率序列的ARCH效应，估计GARCH模型以及标准化残差分析等。最终通过本次实验检验股票指数的GARCH效应，了解股票市场上的波动聚集效应。,54,R语言分析股票指数的GARCH效应
会员,决策树（decision tree）——是一种被广泛使用的分类算法。相比贝叶斯算法，决策树的优势在于构造过程不需要任何领域知识或参数设置，在实际应用中，对于探测式的知识发现，决策树更加适用。,150,使用决策树算法预测森林植被
训练营,通过20个由实验楼和信息安全工程师共同制作的Web应用攻击实验，使用渗透测试技术教大家如何去攻击一家网站，并针对找出的跨站脚本XSS、SQL注入、文件包含等安全漏洞，都提供了如何避免的解决方案。完全在线实验，讨论区工程师答疑，详细步骤截图，漏洞原理和攻击代码讲解。,190,Kali 渗透测试 - Web 应用攻击实战
free,"Flume 可以从多个数据源获取数据，把这些数据传给远程主机（可能是一对多或流水线模型
中的多个目标），再把它们传给多个目的端。尽管 Flume 提供了开发自定义数据源和数据目的端的编程 API，但它原本就支持许多常见的场景。本课程源自图灵教育的《Hadoop基础教程》第10章，感谢图灵教育授权实验楼发布。",611,使用 Flume 收集数据
free,本实验主要通过介绍计算机相关技术的基础概念，实验楼的使用方法，面向完全没有编程经验的用户。从中我们将了解到实验楼的实验精神：“从实践切入，依靠交互性、操作性更强的课程，理论学习+动手实践共同激发你的创造力。”,159538,新手指南之玩转实验楼
训练营,本训练营使用 Vue.js+Koa.js+MongoDB 实现一个类似于“什么值得买”的网站。前端页面使用 Vue.js 实现，主要学习 Vue.js 技术栈的使用，主要使用 vue+vue-router+vuex 等技术。服务器端使用 Node.js 实现的一个 web 框架 Koa.js，主要学习基于 Koa.js 的 Web 开发。同时使用 MongoDB 做数据存储。实现的功能模块主要有：用户管理、商品分类管理、商品标签管理、商品管理等。,110,Vue.js+Koa.js+MongoDB打造“什么值得买”网站
会员,Burp Suite 是用于攻击web 应用程序的集成平台。它包含了许多工具，并为这些工具设计了许多接口，以促进加快攻击应用程序的过程。，在本节课程中，我们将为大家介绍Burpsuite的proxy、spider、target、scanner、intruder、decode、reperter模块的使用方法。,42,BurpSuite基础教程
会员,本课程将使用 Wireshark 抓包工具捕获 SDN 环境下的核心协议 OpenFlow 协议数据包，来分析该协议的报文结构、使用方法，以便日后进一步学习 SDN 知识。,111,Wireshark抓包解析 OpenFlow 协议
训练营,15个实验带你体验Docker魅力，最快的上手教程，最新的技术领域，最多的动手实践。在线实验学习Docker，DockerFile，Compose，Swarm，Kubernetes等技术。,517,动手实战学Docker (15个实验+54个视频)
会员,"sqli-labs是一个专业的SQL注入练习平台，它支持GET和POST两种类型的注入方式，其中包含：1.报错注入(联合查询)1)字符型 2)数字型
2.报错注入(基于二次注入)
3.盲注1)基于布尔值2)基于时间
4.UPDATE型注入练习
5.INSERT型注入练
6. HTTP头部注入1)基于Referer2)基于UserAgent3)基于Cookie
7. 二次排序注入练习",119,sqli-labs通关指南系列
free,本次课程将基于 Python 3.4 和  PyQt 5 来学习 GUI 编程，课程分为两次实验，第一次实验先简单了解 Qt 各个组件的使用方法，第二次实验将尝试实现一个浏览器。,5070,PyQt 实现简易浏览器
会员,SVM（支持向量机）是一种常用的机器学习分类算法。本课程使用HOG+SVM算法和OpenCV实现一个图片分类器，通过自己训练分类器，达到可以判断任意图片是否是猫咪的效果。,575,基于SVM的猫咪图片识别器
free,要在实验楼愉快地学习，先要熟练地使用 Linux，本实验介绍 Linux 基本操作，shell 环境下的常用命令。,133632,Linux 基础入门（新版）
会员,本实验是以几支股票数据作为分析背景，股票数据如何从雅虎财经板块上获取，并观察股票每日价格和成交量数据开始，接着计算某一支股票数据中比较重要的日度收益率。然后通过各种股票线图进行技术分析，最后在一支股票的基础上同时分析多支股票的成交量，涨幅时间点，最后得出它们之间的相关性等数据特征。  ,181,R 语言实现股票数据的预处理及分析
free,本课程将通过一个简单的Go语言程序，带你了解Go是如何实现编程效率和强大功能之间的平衡的。这个程序从不同的数据源拉取数据，将数据内容与一组搜索项做对比，然后将匹配的内容显示在终端窗口。在这个过程中会读取文本文件，进行网络调用，解码XML和JSON成为结构化类型数据，并且利用Go语言的并发机制保证这些操作的速度。本课程源自异步社区的《Go语言实战》第2章，感谢异步社区授权实验楼发布。,1310,《 Go 语言实战 》 快速开始一个 Go 程序
会员,在本课程中，你将了解如何利用 SQL Context 及相关的 API 进行统计分析。最后将通过一个Spark自定义 UDF 分析 Uber的实例，进一步学习如何利用 Spark SQL 分析数据。本课程难度为一般，属于初级级别课程，适合具有 Spark 基础的用户，学习 Spark SQL 的基础知识。,162,Spark 自定义 UDF 分析 Uber 数据
free,"Laravel 是当下最火的 PHP 开发框架。它以编码风格优雅著称，每行代码都非常简洁，富有表达力，并且拥有强大的组件开发生态，可以帮助你快速搭建完美的大型网络应用。
本课程将从环境配置开始，将路由，控制器等基本知识点逐个在后续的实验中进行讲解和实践，力求让学习者通过自己做实验来更快上手 Laravel 开发，也能在开发的过程中体会 Laravel 的艺术感。课程在最后一个实验还将通过30分钟搭建一个迷你博客，让大家对Laravel基础知识进行回顾通过实践加深记忆并巩固学习。",1865,Laravel 5.1 基础教程
会员,今天这门课程将通过 OpenCV 库来实现人脸面部特征交换，其实就是将第二张人脸的眼睛、鼻子和嘴巴通过程序自动裁剪适配并覆盖到第一张人脸上，并且为了使得修改后的照片看着更加自然，我们还需要调整皮肤颜色。,2496,川普撞脸希拉里(基于 OpenCV 的面部特征交换)
会员,本课程使用PHP封装一个完整的分页类，配合bootstrap样式，实现一个美观实用的分页模块。从课程中可以了解分页的原理以及面向对象编程思想。,313,PHP 封装分页类
会员,这个世界从古至今一直是一个看颜值的世界。对于我们作报告，写文章时使用的图片，也是一样的。一图胜千言，一张制作精美的图片，不仅能展示大量的信息，更能体现绘图者的水平，审美，与态度。我的老板，国内外多家`SCI`，`EI`文章的审稿人，甚至跟我说，一篇文章拿到手里，一眼扫过去，看看数据和图片，就知道这篇文章值不值得发表，水平如何。由此观之，制作一张精美图片的意义，实在重大。本课程实现使用`python`从`excel`读取数据，并使用`matplotlib`绘制成二维图像。这一过程中，将通过一系列操作来美化图像,1219,Python实现从excel读取数据并绘制成精美图像
会员,PyGithub.py 是利用 Python 封装 Github API 的第三方库。通过学习该课程，你将会使用 Python 从 Github 中获取对应代码仓库的贡献度（Commit 信息）及活跃度（Issue 评论内容）等。并且讲解如何使用 iPython 交互式调试代码。,284,使用 Python3 编写 Github 自动周报生成器
训练营,本训练营将分为四个部分，第一部分介绍了代码审计思路以及几个比较基础的Web漏洞审计实例，比如Sql注入、XSS、CSRF。第二部份更进一步介绍了Web相关漏洞，比如文件类的Web漏洞。第三部分介绍一些比较深入的Web漏洞，比如会话认证漏洞。第四部则介绍了代码审计工具的使用以及对课程的总结。,104,通过代码审计学习Web安全
会员,本次课程通过使用spring+spring MVC+hibernate来模拟实验楼课程管理系统。系统使用者分为课程管理者和课程制作者两个角色，他们分别有自己的功能和权限。,193,Java模拟实现实验楼课程管理系统
会员,经济增长一直以来都是我国宏观经济政策的目标之一，研究影响经济增长的因素对促进我国经济快速发展有着重要意义。本实验运用 R 语言编写代码拟合多元线性回归模型，对模型拟合结果进行诊断，即对假设前提进行检验，并选择最优模型，最终进行区间预测，定性的研究影响我国经济增长的因素。,75,基于R语言的多元线性回归--我国经济增长的定量研究
会员, SSM（Spring + Spring MVC + MyBatis）框架是媲美于 SSH 框架的轻量级 Java EE 框架。easyUI 是一组基于 jQuery 的 UI 插件集合体，它的目标就是帮助 web 开发者更轻松的打造出功能丰富并且美观的 UI 界面。本课程将采用 SSM + easyUI 来开发一个比较简易的人事管理系统，让同学们能够通过实际项目掌握 SSM 项目的开发。在开始实验前，请同学们务必已经掌握 SSH 框架、MySQL 和 easyUI 等的基本知识点。,560,SSM + easyUI 搭建简易的人事管理系统
会员,卷积神经网络特别适合于处理图像相关问题，本课程一边讲解卷积神经网络原理，一边带你动手使用caffe深度学习框架进行图片分类。,774,使用卷积神经网络进行图片分类
会员,通过 githook 技术截获本机 git commit 命令，执行定制脚本，将本次代码的 diff log 以邮件方式发送给指定的团队成员。,50,使用 Githook 实现团队 Coding Review 流程
会员,本实验基于 Laravel 5.1 的 Auth 系统和第三方插件快速搭建一套基本的包含：登录/注册/图片验证码验证/忘记密码等功能的用户认证系统。,192,Laravel 5.1 快速搭建用户认证系统
会员,本课程主要内容是开发一个可以实现即时翻译功能的项目，项目中所涉及的技术点既包括前端Bootstrap 框架以及Ajax的使用，也包括后端PHP的逻辑代码的编写，其中核心的部分是通过调用有道API实现文字的翻译。课程中介绍了如何获取API使用权限以及API调用的基本方法。让用户在开发其他项目中可以举一反三。,410,基于 Bootstrap 和 PHP 实现有道翻译
训练营,"教师辅助在线完成6个Python项目，高强度项目训练学习Python开发。涵盖Python 基础语法，GUI，网络开发等知识。课程随到随学，遇到技术问题在讨论区发帖提问，有工程师回复解答。
",465,Python 经典项目实战
会员,"了解决策树的基本概念，学习决策树生成过程中的 ID3, C4.5 及 CART 算法及原理。最后通过 scikit-learn 提供的决策树算法完成鸢尾花分类实验。",422,决策树实战项目-鸢尾花分类
会员,本次实验我们将介绍人工神经网络中的生物神经元，及突触间隙的学习过程。最终将实现基于hebb规则的自联想存储器。由于自联想存储器具有降低噪声，与去除不同输入间的干扰功能，在测试阶段我们将输入有噪音或遮挡的数字图片查看联想结果。,602,自联想器的 Python 实现
会员,kivy是一个开源的Python库，目的是快速开发GUI用户界面，特别是多点触摸应用程序。Kivy和python一样具有出色的跨平台特性，使用Kivy编写的程序可以在Windows，Linux，和mac OSX系统之间无缝切换运行，而且具有本地显示效果，特别对触摸屏应用的支持较好，在非触摸屏上也可以配合鼠标模拟触摸效果。Kivy甚至可以运行在android和IOS设备上，具有极强的跨平台能力。,349,Kivy－－使用Python开发跨平台的GUI程序
free,对于图处理，hadoop的mapreduce提供一层合并，这表明我们不得不像剥洋葱一样来处理图数据，Giraph 是 Google Pregel 的一种开源实现。本课程将基于hadoop平台实现Giraph 分布式系统中的图处理。本课程源自图灵教育的《hadoop应用框架》第5章，感谢图灵教育授权实验楼发布。,742,Hadoop 图处理--《hadoop应用框架》
会员,利用Python的SSH模块实现java web项目的远端自动化部署和自动化更新。简化java web项目的部署流程。,277,Python实现java web项目远端自动化更新部署
训练营,本训练营目标是以Java代码实战的方式学习Kafka。包括Kafka的安装配置、Producer API的使用、Consumer API的使用以及与第三方框架(Flume、Spark Streaming)的集成开发。对在大数据项目中经常用到的Kafka关键知识点，进行全方位、源代码级别的学习，使学员深入理解Kafka的内部机制。,112,kafka代码实战--让你全面学习Kafka
会员,本课程将利用 python 标准库实现一个简单邮件客户端，实现对 qq 邮箱的登陆，发送格式简单的邮件，以及接收邮件。,117,python 实现简单邮件客户端
会员,MLlib 是运行在 Spark 上一个机器学习算法库，借助 Spark 的内存计算，可以使机器学习的模型计算时间大大缩短。本节课基于协同过滤算法实现简易电影推荐。,112,Spark 机器学习之电影推荐系统
会员,"本课程将为大家讲解如何使用C语言实现LRU缓存，从中学习LRU缓存的基本概念、C语言相关编程技巧，双向链表的C语言实现以及哈希表的C语言实现。

",1070,C语言实现LRU缓存
训练营,本课程将通过8个实验，带领同学们入门TensorFlow、Theano、Keras 及 Caffe 几个主流的深度学习框架，通过项目实践使同学了解如何利用这些框架搭建自己的深度学习神经网络。课程将基于每个框架的官方文档，先带大家熟悉框架中基本的定义语法及常用函数（可看成深度模型的小零件），并在每个实验内容的最后都会综合这些零件搭建一个简易的神经深度网络模型。十分适合具有一定python编程基础，对人工智能、深度学习感兴趣的同学。,525,深度学习初探——入门DL主流框架
会员,本课程将学习 C++ 利用 ffmpeg 解码视频数据，将解码后的视频数据播放出来。通过本实验学习 ffmpeg 和 SDL 基本的用法。,872,ffmpeg 结合 SDL 编写播放器
会员,本课程将使用Scoket来模拟用户浏览商品产生实时数据，数据包括用户当前浏览的商品以及浏览商品的次数和停留时间和是否收藏该商品。使用Spark Streaming构建实时数据处理系统，来计算当前电商平台最受人们关注的商品是哪些。适合有一定的Java编程基础以及一定得Spark知识，了解Streaming的工作机制的同学学习。,211,Spark流式计算电商商品关注度
训练营,本训练营主要讲后门技术实战，偏重于渗透成功后的维持访问。该课程共包含 10 个实验，每个实验都提供详细的步骤和截图，其中会有专门的三节实验，专门用来讲解木马的制作，以及对生成的后门木马的源码分析 。,120,Kali 渗透测试 - 后门技术实战（10个实验）
会员,针对近期公布的各种漏洞进行复现，通过漏洞复现以求加深对漏洞的利用和使用，加深大家对于web渗透测试的理解。,35,从头开始学习漏洞利用
训练营,本训练营从一个简单的Scrapy项目入手，剖析爬虫的结构和Scrapy的运行规则，最后通过两个两个实战项目——「爬取实验楼课程信息」和「爬取电影网站信息」，带领大家从零基础入门，完全掌握使用Scrapy框架编写网络爬虫的技能。,209,Python网络爬虫实战--Scrapy框架学习
free,本课程将会从电影题材分类的例子入手，详细讲述`k-近邻`算法的原理。在这之后，我们将会使用该算法实现手写数字识别系统，书籍教程配套实验练习，帮助您更好得实战。本课程源自图灵教育的《机器学习实战》第2章，感谢图灵教育授权实验楼发布。,2958,k-近邻算法实现手写数字识别系统--《机器学习实战 》
训练营,本训练营项目是使用Vue.js实现一个简易的富文本编辑器应用。通过本项目的实战学习，你将获得以下技能：Vue.js框架进阶学习，数据绑定操作，组件式开发。资源打包工具的了解与使用，以webpack讲解为主。Vuex的使用，让你了解全局状态管理的作用与优势，并学习掌握。Range/Selection的讲解与实践，带你深入探索富文本编辑器背后的原理。与其他Vue项目不同，这是一个纯前端的项目，主要学习Vue框架的使用与原生Js编写，同时了解DOM的相关知识。,100,Vue.js 实现富文本编辑器
free,基于杨春敏与黄毅的ABS译文制作，一本深入学习 shell 脚本艺术的书籍。原版链接：http://www.tldp.org/LDP/abs/html/。,625,高级bash脚本编程指南
会员,Gitbook是一个命令行工具，可以把你的Markdown文件汇集成电子书，并提供PDF等多种格式输出。你可以把Gitbook生成的HTML发布出来，就形成了一个简单的静态网站。,573,基于 Gitbook 制作电子书
会员,在渗透测试的过程中，捆绑木马以及木马免杀是经常使用的手段。本课程将教你如何使用Metasploit生成木马、捆绑常用软件以及木马的免杀处理。,354,Metasploit实现木马生成、捆绑及免杀
会员,通常我们程序的命令行输出是静态的，在这个课程里我们将学习如何在命令行输出动态图案——动态进度条，不仅如此，这个动态进度条能为我们提供直观的进度信息,339,Python3 实现命令行动态进度条
会员,本次课程将带领大家一起来学习Flask-AppBuilder如何快速、高效的实现Web后台管理应用，避免了一些重复工作，使我们只需要关注数据模型就可以实现强大的Web后台管理。,219,利用Flask-AppBuilder 快速构建Web后台管理应用
训练营,网易云音乐作为一款曲目齐全，操作方便，用户体验高的的音乐产品，越来越受欢迎。本训练营将使用 React 实现一个 网易云音乐，包含项目从设计到实现的完整流程，包含 前端界面模块，Node模块，MongoDB模块，前端界面模块包含React组件开发，React-Router路由配置，Redux状态管理。没有基础的小伙伴也不用着急，可以先学习实验楼的基础课程后来学习。代码注释清晰，老师在线答疑，还等什么？赶紧行动起来！,115,React+Express+MongoDB 实现网易云音乐
会员,错别字一直是挺影响读者体验的东西。实验楼作为以文档为基础的教育网站，已经由用户纠正了很多文档中的错别字。这次我们希望上线一个错别字高亮系统，输入我们的 MarkDown 文档，输出一个高亮过疑似错别字的HTML文件。,107,Python 实现中文错别字高亮系统
free,本课程是java基础的进阶课程，主要讲解IO、Util等常用类库的使用、Swing图形化编程、多线程编程等知识点。难度一般，适合具有 Java 语言基础的同学学习。,8315,J2SE核心开发实战
会员,在PHP中使用图表功能，ECharts，一个纯 Javascript 的图表库，提供直观，生动，可交互，可高度个性化定制的数据可视化图表。,319,PHP实现ECharts图表功能
free,Python脚本语言基本语法入门。Python是一种面向对象、直译式的计算机程序语言，具有近二十年的发展历史。语法简单易上手。本课程通过由浅入深的一步步讲解python基本语法，适合没有编程经验的初学者。,17648,Python编程语言
训练营,"课程从搭建一个简单可用的例子开始，让你掌握go和react+redux等前后端主流技术。最终使用 Go 语言和React ，完整开发一个在线购物商城网站，包含用户、购物车、订单管理、评论与点赞、购买等功能模块；同时详解利用事件驱动模型，来解决秒杀活动中高并发库存锁定问题、防止api接口被非法调用、实现redux管理订单状态、cps编程模型实践等内容。框架完整，设计细节清晰，助你快速成为全栈工程师。
",131,Go语言开发在线商城
会员,本次实验通过使用Scapy来实现SYN洪水攻击，并基于SYN洪水攻击来实现DDOS。并详细讲解了Scapy库的基本用法，以及SYN洪水攻击和DDOS攻击的基础知识！,1452,Python3基于Scapy实现DDos
会员,出租车是我们生活中经常乘坐的一种交通工具，但打车难的问题也限制了我们更好地利用这种交通方式。在哪些地方出租车更容易打到？在什么时候更容易打到出租车？本课程将基于某市的出租车行驶轨迹数据，带你学习如何应用Spark SQL和机器学习相关技巧，并且通过数据可视化手段展现分析结果。,1539,大数据带你挖掘打车的秘籍
free,本课程带领大家使用 SQLAlchemy 连接 MySQL 数据库，创建一个博客应用所需要的数据表，并介绍了使用 SQLAlchemy 进行简单了 CURD 操作及使用 Faker 生成测试数据。,3266,SQLAlchemy 基础教程
会员,模版匹配是在图像中寻找目标的方法之一，常用于进行物体识别或人脸识别。本课程将使用OpenCV&&C++进行模板匹配，在一张大图中去查找并圈出目标小图。通过课程你将学习到关于OpenCV的一些函数用法和模板匹配的完整流程。,481,使用OpenCV&&C++进行模板匹配
会员,"本课程将对遗传算法进行简单讲解，通过使用python实现简单的遗传算法求解函数极值以及通过实例了解Pyevolve的使用方法。非常适合熟悉Python基础，对算法较感兴趣的用户。
遗传算法（Genetic algorithm）属于演化计算( evolutionary computing)，是随着人工智能领域发展而来的一种智能算法。正如它的名字所示，遗传算法是受达尔文进化论启发。简单来说，它是一种通过模拟自然进化过程搜索最优解的方法。
",362,Python实现遗传算法求解n-queens问题
训练营,在本训练营中，我们将学习怎么样使用 Python 进行数据分析。课程将从数据分析基础开始，一步步深入讲解。从 Python 的基础用法到数据分析的各种算法，并结合各种实例，讲解数据分析过程中的方方面面。,161,Python 数据分析入门与进阶
会员,"文智中文语义开放平台是基于并行计算系统和分布式爬虫平台，结合独特的语义分析技术, 一站式满足用户NLP、转码、抽取、全网数据抓取等中文语义分析。",697,基于腾讯文智的情感分析 
会员,本课程分为基础讲解部分和项目实战部分。Ajax基础讲解部分向用户介绍了什么是Ajax，以及Ajax的常见应用场景，并在文档中附一个简单的小示例，帮助用户理解Ajax的概念。项目实战部分，主要就以编码为主，通过两个简单的小项目，让用户巩固Ajax基础，扩展Ajax技术在实际场景的具体应用，用户可以将学到的知识应用到自己的项目中，难易程度和代码量都适中，适合初级用户快速学习。,310,PHP 之 Ajax 实例讲解
会员,本课程使用 ThinkPHP3.2.3 开发一个简易的文章管理系统，包括文章展示，文章发布，文章管理，个人管理，文章评论，点赞等常用的功能。通过本课程的学习，可以熟练操作 TP 框架快速开发小型系统或网站。难度适中，适合对PHP后台开发感兴趣并且想学习 ThinkPHP框架的同学。,235,ThinkPHP 简易文章管理系统
会员,每天我们都会收到很多的邮件，但是从来没有了解过邮件是怎么实现收发的，也没有自己配置过一台邮件服务器。如果是因为条件所限，而没有实现过邮件服务器，那么在我们的环境就可以实现了。从实践中学习，你值得拥有！,238,Linux系统安装及配置邮件服务器
free,本课程实现一个包含各种不同参数的 Shell 脚本，用来获取和监控 Linux 系统信息，并将该脚本加入系统环境中。实现过程中学习和实践 Shell 脚本编程及 Linux 基本信息和资源使用率获取。,1507,Shell 脚本实现 Linux 系统监控
free,Sql注入攻击是通过将恶意的Sql查询或添加语句插入到应用的输入参数中，再在后台Sql服务器上解析执行进行的攻击，它目前黑客对数据库进行攻击的最常用手段之一。本课程将带你从Web应用运行原理开始，一步一步理解Sql注入的由来、原理和攻击方式。,1149,Sql注入基础原理介绍
会员,日志在计算机系统中是一个非常广泛的概念，任何程序都有可能输出日志：操作系统内核、各种应用服务器等等。日志包含很多有用的信息，例如访问者的 IP、访问的时间、访问的目标网页、来源的地址以及访问者所使用的客户端的 UserAgent 信息等，分析日志能帮助企业营销做出决策，本节课将介绍如何用 Spark 分析日志。,466,使用 Spark 进行流量日志分析
