type,description,students,name
free,本课程讲解 C 语言的开发环境以及对 C 语言的剖析，引入大量的 C 语言程序案例，把算法和语法结合起来，通过引导大家由浅入深地编写 C 程序，让大家掌握 C 语言。我们将从中学会 C 语言语法、数组、模块化程序设计指针、文件的输入与输出等。,29011,C 语言入门教程
会员,"本课程通过大量的实验帮助学员实现以下目标:
1.掌握 Makefile 的基本规则。
2.理解 Make 的执行过程。
3.深入理解 Makefile 时间戳，文件依赖，文件命名，环境变量，变量赋值，变量展开，makefile重载等规则的细节。",254,Makefile基础教程
训练营,15个实验带你亲身体验Spark大数据分析的魅力，最快的上手教程，最新的技术领域，最多的动手实践。课程已全部上线，加入即可开始学习。,1025,Spark 大数据动手实验
free,本课程带领大家一步一步攻克Python Challenge中的难题，在一个又一个脑洞大开的 Python 问题中提升自己的 Python 水平。,7198,全面解析PythonChallenge
会员,本实验将学习如何开发Android系统中极具特色的桌面小部件，你将在此实验中学习到如何创建一个桌面小部件并实现其业务功能。,108,Android小案例 - 桌面小部件（Widget）
会员,本实验主要探讨了几种时间序列的预测模型，首先带领大家对时间序列有一个初步的认识，再在这个基础之上，向读者介绍当下最常用的 ARIMA 模型来预测时间序列，接着为读者展示几种指数平滑的方法来预测，最后通过几种模型的对比，让大家可以从中选择出一个最佳的模型来实现预测。,96,R语言实现金融数据的时间序列分析及建模 
free,本实验用 50 行 Python 代码完成图片转字符画小工具。通过本实验将学习到 Linux 命令行操作，Python 基础，pillow 库的使用，argparse 库的使用。本课程难度简单，属于 Python 中基础课程。课程教学视频：https://www.bilibili.com/video/av13422372/,36455,Python 图片转字符画
会员,通过借助 docopt 库与 Pillow 库来构建命令行解析器获取指定图像并将其转换成相应样式的彩色字符图像，并在终端上将转化后的图像打印出来。完成本课学习之后，大家可尝试选择自己喜欢的头像图片制作自己的彩色字符头像哦！,592,Python 3 实现图片转彩色字符
训练营,实验楼携手信息安全工程师制作20个服务器攻击实验，针对 FTP，Tomcat，NFS，Samba等服务漏洞， 使用 Nmap 及 Metasploit 安全工具进行渗透测试。完全在线实验，讨论区工程师答疑，详细步骤截图，漏洞原理和攻击代码讲解。,208,Kali 渗透测试 - 服务器攻击实战（20个实验）
会员,"很多网站在用户注册账号的时候为了保证账户的安全，都会自动检测用户密码的强度并给出提醒让用户设置一个相对安全的密码。本课程将指导大家如何使用python实现一个简单的检测密码强度的库。
",1217,Python 实现密码强度检测器
会员,日常生活中我们共享文件都是通过QQ，微信等软件来实现的，今天将通过本课程将教大家使用Python在自己的电脑上架设一个FTP服务器，用来管理自己日常生活中的文件。,2912,Python3实现简单的FTP认证服务器
会员,"使用 Vue.js 和 vue-router 创建单页应用非常的简单，使用 Vue.js 开发，整个应用已经被拆分成了独立的组件。在使用 vue-router 时，我们需要做的就是把路由映射到各个组件，vue-router 会把各个组件渲染到正确的地方。还可以在组件中使用分页功能，大家一起来实验吧！
",310,用Vue.js 和 vue-router 创建单页导航和分页
训练营,本课程主要使用 Python 的 Flask 框架和 VueJS，通过两个实战项目留言板项目和论坛应用的练习，让大家掌握 Flask + VueJS 进行 Web 开发的能力。,826,Flask + VueJS 全栈 Web 开发实战
会员,本实验利用 Cryto++库 对字符串进行 AES 加密和解密，RSA 加密和解密，生成 MD5 值。其中主要用到了 Crypto++ 库，这是开源的C++数据加密算法库，支持如下算法：RSA、MD5、DES、AES、SHA-256等等。,243,C++ 使用 Crypto++ 库实现常用的加密算法
free,C++11 的出现及C++14 对 C++11的重要补充，让 C++ 这门古老的语言注入了新的活力。如果你还在使用传统 C++，打着 C++ 的名号写出 C 语言代码，请停下来。本教程将带领你快速上手 C++11/14 的重要特性。,3817,C++11/14 高速上手教程
会员,本课程通过在后台的 Servlet 生成验证码图片，传递到前台 HTML 页面展示。完成本课程可以进一步熟悉 Servlet、Random 函数、StringBuffer 、OutputStream 等等，掌握基础的验证码生成。本课程难度一般，适合具有 Java 基础和核心 API 知识的同学入门 Servlet 技术。,422,基于 Servlet 的简单验证码图片生成
会员,"sqlmap是一个自动化的SQL注入工具，其主要功能是扫描、发现并利用给定的Url的SQL注入漏洞，目前支持MySQL, Oracle, PostgreSQL, Microsoft SQL Server, Microsoft Access等主流数据库，Sqlmap常用功能包括检测注入点、列举数据库账户密码、暴力破解数据库库名、表段名和字段名等，另外通过众多的脚本可以扩展各种各样的功能。本课程搭建DVWA、MYSQL数据库环境，通过实例带你轻松上手Sqlmap。",120,Sqlmap快速上手教程
会员,"本节课主要介绍 Spark 的算子，通过演示黑名单实时过滤案例来加深您对 Spark RDD 的理解， 适合刚有 Spark 基础 的人学习。
",232,Spark 实现黑名单实时过滤
会员,本课程主要内容是使用 PHP 内置的输出缓存机制将 PHP 动态页面生成静态页面。在实际的代码中学习并实践 ob 系列函数，PHP 连接 MySQL 数据库及数据库查询展示等知识点。,132,PHP 动态页面静态化实战
会员,本实验通过国民人均年消费支出的相关数据来对聚类分析进行学习，首先通过距离公式认识聚类的基本概念，然后通过两大热门的聚类方法进行实验，主要介绍了系统聚类和划分聚类，其中系统聚类包括了最短距离、最长距离、类平均、重心和 ward 这五种方法，划分聚类主要介绍了 K 均值法和基于中心的划分方法的实验过程。最后，读者通过实验就能对比出每一种聚类方法的优劣之处。,48,R语言实现城镇居民全年人均消费支出的聚类分析
free,为了方便日后密码遗忘进行修改或者进行消息推广等，现在各大网站在注册的时候总是免不了填写邮箱验证邮箱的流程。本门课程将通过使用 SendCloud 提供的 API 来实现一个本地版的邮箱认证过程。,537,基于 SendCloud 的邮箱验证
会员,Ansible 这个简单易学的自动化工具可以满足业务线在速度和简洁性方面日益增加的需求，让我们更高效的同时管理多台服务器不再是想想而已。,179,Ansible 基础教程
会员,本课程涉及到Android中的两种信息提示的工具：Toast和Notification，你将可以学习到如何创建并发布这些消息，以及自定义它们的外观。,97,Android小案例 - 通知
会员,本实验课程以网络上的新浪股票数据为代表，研究金融数据的一些简单的统计性质。首先介绍相关的理论基础，然后在 R 上进行相关的操作，这些主要包括加载所需要的 R 包，在网络上直接载入股票数据，绘制股票数据的一些典型图形以及最终对股票的收益进行一些简单的分析，为简单的金融数据分析打下一些基础。,143,使用R语言基于新浪股票数据分析金融数据的“统计常识”
会员,"本实验介绍怎么使用 J2SE 常用网络通信 API 以及 Socket 编程。通过本实验将会学习到网络基础知识、获取URL资源的大小、Swing图形界面编程、套接字编程。本节课程难度中等，属于中级课程，适合具有扎实 Java 基础的同学学习网络编程。
",555,J2SE网络通信实践
会员,基于TCP的python聊天程序，将会涉及TCP/IP协议，Python网络编程，PythonGUI编程(Tkinter)三个方面,1291,基于TCP的python聊天程序
会员,本课程将通过一个航班数据分析实例来学习 Spark 综合技巧和数据可视化技术。在航班数据分析实验中，可以学习到如何使用 OpenRefine 进行简单的数据清洗，以及如何通过 Spark 提供的 DataFrame、 SQL 和机器学习框架等工具，对航班起降的记录数据进行分析，尝试找出造成航班延误的原因，以及对航班延误情况进行预测。在数据可视化实验中，可以学习到 D3.js 中的数据读取、插值、元素选取、属性设置等 API 的用法。,687,使用 Spark 和 D3.js 分析航班大数据
会员,利用OpenCV中的平滑处理和线性滤波器对图片进行处理，打造模糊效果。将介绍归一化滤波器，高斯滤波器，中值滤波器，双边滤波器这四种滤波器的相关知识，并且会对“核”和卷积进行相应的讲解。,298,使用OpenCV进行图片平滑处理打造模糊效果
会员,多人在线协作文档编辑器是一个很常用的功能，适合小组内的文档编辑。例如用于工作中小团队内进行实时编写和收集周报，用到的库（框架）有：ckeditor  、localStorage 、spring mvc 、spring jdbcTemplate、mysql数据库。本课程介绍了如何设计实现该功能，使用java编写代码，应用非常流行的spring mvc框架，引入ckeditor插件，并加入localStorage缓存技术，最终利用Eclipse完成该实验。非常适合Java学习者用于练手。,336,Java实现在线协作文档编辑
会员,本课程将从界面、数据库的整体设计开始，使用 Laravel 5.1 一步一步的搭建一个简易的 bootstarp 风格瀑布流相册。适合已经学习过laravel基础知识的同学作为项目练手，巩固知识点。,181,Laravel 5.1 制作简易相册
会员,本课程从比特币的密码学原理，交易原理等等方面展开，一层一层地揭开区块链技术的面纱，带领同学们领略来自未来的技术。,428,比特币基础概念入门
会员,Superset 是 Airbnb 开源的数据分析与可视化平台，同时也是由 Python 语言构建的轻量级 BI 系统。Superset 可实现对 TB 量级数据进行处理，兼容常见的数十种关系或非关系型数据库，并在内部实现 SQL 编辑查询等操作。除此之外，基于 Web 服务的 Superset 可实现多用户协使用，并可针对不同角色进行权限管理。Superset 如今已归属于 Apache 孵化项目，并被 Yahoo，豆瓣等国内外知名公司使用。,247,Superset 数据分析平台搭建及使用
会员,人机验证（Captcha）是一种用于区分用户是计算机和人的计算机程序。人机识别有助于保护您免受垃圾信息、恶意注册的干扰，使网站运营更加安全。,511,基于 Luosimao 的人机验证服务
会员,本实验通过使用 Python 实现一个淘宝女郎图片收集爬虫，学习并实践 BeautifulSoup、Selenium Webdriver 及正则表达式等知识。适合有一定python基础的同学或对爬虫有兴趣同学。,2927,Python3 实现淘女郎照片爬虫
会员,本次实验将使用利用 OpenCV 来实现对视频中动态物体的追踪。进行本节的实验时，您需要先完成 C++实现太阳系行星运行系统的相关实验，才能进行之后的学习。,583,C++实现运动目标的追踪
free,本实验将试图使数据遵循一种模式，在此模式中，一个或一系列事件可以通过一致的方式预测另一个数据点。首先，通过使用 eclat 函数查找数据集模式，以便寻找人口中的相似模式。接着，使用 TraMineR 查找购物篮中的项目频集。使用 apriori 规则确定购物篮中的项目关联。使用 TraMineR 确定成年人职业转换期的序列，并通过序列数据可用的大量图形特征将其可视化。最后，用 seqdist 检查序列之间的相似点和不同点。本实验源来自异步社区的《数据科学：R语言实战》第2章，感谢异步社区授权实验楼发布。,119,序列的数据挖掘--《数据科学：R语言实战》
free,本课程主要介绍 Scala 中可以让函数库调用变得更加方便的隐式变换和隐式参数，以及如何通过它们来避免一些繁琐和显而易见的细节问题。课程内容主要包括 implicits 的使用规则、隐含类型转换、转换被方法调用的对象等。,279,Scala 专题教程 - 隐式变换和隐式参数
free,Spring是一个于 2003 年兴起的一个轻量级的Java 开发框架，由Rod Johnson创建，作为一个分层的JavaSE/EEfull-stack(一站式) 轻量级开源框架，框架的主要优势之一就是其分层架构。本次课程详细介绍了 Spring 框架结构知识，并通过多个基础的 Demo 实例讲解了 Spring  IoC 容器， AOP 的用法。,6461,Spring框架入门教程（新版）
free,本课程主要讲解包括 R 语言的基本数据结构 ， tidyverse 生态 ， 以及一些用R解决实际问题的案例。属于 R 语言小白入门基础课程，难度简单。十分适合想要学习 R 语言的同学进行入门学习。,742,R 语言基础入门
会员,本课程我们将在Linux平台使用C语言编程，在终端界面上玩贪吃蛇。本课程分为三个实验，实验一介绍了图像库，实验二绘制游戏图像界面，实验三实现贪吃蛇。逐步为同学们讲解一个游戏的制作过程。,1280,终端贪吃蛇
会员,本课程手把手教你使用 Python 实现一个深度神经网络，让你在实际动手的过程中理解深度学习的一些基本原理，带你真正入门深度学习。,1315,使用 Python 实现深度神经网络
会员,VPN 就是为了大家在 互联网的连接和使用中，开辟一条临时的通道，最大程度保证传输数据的便捷以及安全性。本实验将介绍一些 VPN 服务器软件，以及安装配置一台 pptp 服务器。,2604,Linux系统安装配置VPN服务器
free,本实验将对意大利北部沿海地区的气象数据进行分析与可视化。我们在实验过程中先会对数据进行清洗，然后运用 Python 中 matplotlib 模块的对数据进行可视化处理，最终从清晰的图表中得出我们的结论。本实验源自图灵教育的《Python 数据分析实战》第2章，感谢图灵教育授权实验楼发布。,3200,Python 气象数据分析 -- 《Python 数据分析实战》
会员,本课程将借助Huffman编码树给被压缩的文件生成相应的Huffman编码，然后对文件进行压缩，生成相应的压缩文件并对其实现解压操作。通过本课程的学习，让你全面认识Huffman编码树，并且能够借助Huffman编码树进行实践问题，除了本课的解压缩文件之外，还可以尝试去解决电话区号的分配等问题。,753,Python实现Huffman编码解压缩文件
会员,本项目在 Linux 环境下使用 C 语言实现聊天室软件，学习并实践基本的 Linux socket 通信的相关技术，加深对 TCP/IP 协议栈的理解。,550,C 语言实现聊天室软件
free,CSRF 攻击可用于盗取身份，造成盗号、虚拟货币转让、购买商品等跟人隐私及财产安全的威胁。 本实验将对一个有漏洞的Web系统进行 CSRF 攻击。,710,Elgg 系统 CSRF 攻击实验
会员,使用R语言中的文本分词包‘Rwordseg’对名著内容进行词频分析，再使用包‘wordcloud’绘制词云，实现数据可视化,447,R语言绘制文字云
会员,机器学习中，除了常见的监督学习（英语：Supervised learning）之外，还有一个非常重要的分支 —— 非监督学习（英语：Unsupervised learning）。本次实验将带你了解非监督学习，并学会使用 scikit-learn 解决非监督学习问题。,239,scikit-learn 实战之非监督学习
free,课程涵盖了大数据领域常见的组件，如Hadoop，Mapreduce，HBase，Mahout，Pig，Hive，Sqoop等。首先从理论上进行介绍，然后让您在实验环境中一步步搭建，及相应的案例学习。学习完本课程您将对大数据有深入的了解，并能够很快的上手。,9215,Hadoop入门进阶课程
会员,系统一旦上线跑起来，自然希望它一直相安无事，不要宕机，不要无响应，不要慢腾腾的，这就需要我们要监视系统的运行状况，发现问题及时处理。通过本课程可以学习有关系统监控的命令使用：如vmstat，top，iostat。以及监控脚本的编写,5291,Linux系统监控实战
会员,使用C++和OpenCV提供的库函数，实现摄像头的实时监控功能，并通过监控画面的运动检测选择是否记录视频。监控人员可选择输出图像的模式以更容易的分辨监控中的异常情况。,2894,C++基于OpenCV实现实时监控和运动检测记录
free,“拼网速，比手快”抢红包已成了亲朋好友春节期间必玩的游戏，为什么同一个群红包，有人领的多有人领的少呢？课程使用 Java编写一个随机算法模拟抢红包，让大家能够了解到红包分配的奥秘，并从中学习到设计一个算法的思想和一些模拟的方法。同时课程涉及了Java随机数、类、容器等基础知识。,4674,Java 实现微信红包分配算法
会员,本次课程，我们将利用基于无监督学习的自编码器对人脸数据进行特征提取，进行图片降维，利用降维后的结果作为有监督学习分类器的输入，最终利用一个三层神经网络实现人脸识别的任务。,3655,神经网络实现人脸识别任务
会员,康威生命游戏是一个久负盛名的数学游戏，有简单的规则和无穷无尽的组合。本课程将使用 pygame 模块来实现这样一个游戏，让你在趣味游戏中提升对 Python 的理解，入门 pygame。,2913,Python 实现康威生命游戏
会员,这是学习区块链的第一步，在实验楼的环境中，了解区块链的基本思想，并实践使用 Docker 及 docker-compose 一步步安装部署 Hyperledger Fabric V1.0.1 网络，以及登录到 Fabric 网络中执行 query 及 invoke 操作。,67,Hyperledger Fabric 区块链环境部署
free,"本课程使用 Python3 抓取 12306 网站信息提供一个命令行的火车票查询工具。通过该项目的实现，可以熟悉 Python3 基础及网络编程，以及 docopt，requests，prettytable 等库的使用。
课程教学视频：https://www.bilibili.com/video/av12380578/",17536,Python3 实现火车票查询工具
会员,本课程通过使用 Python3 实现了可控制肉鸡的反向Shell连接，主要学习反向Shell的实现方法。实验涉及Tcp协议、Scoket基本用法、多线程编程。难度较高，需要具备网络编程的知识，以及计算机网络的知识。,1039,Python3 实现可控制肉鸡的反向Shell
会员,现在几乎任何一个Web应用都需要注册登录使用，每次都要输入繁琐的登录信息才能够使用系统，使用中也会遇到的重复性工作。为了解放双手，本课程通过示例用Python实现模拟登录，并加以扩展说明，相信对Geek们实现各种''歪''点子必定有所帮助。,695,Python实现网站模拟登陆
会员,使用 mininet 模拟器与 Ryu 控制器，从简单的安装到查看代码的理解原理，从部署简单的拓扑到自定义网络拓扑，逐步引领你进入不一样的网络世界,306,SDN软件定义网络动手实验
free,本课程侧重介绍Scala的case class和pattern matching（模式匹配），这两个程序结构对于处理树结构的数据非常有帮助。在本课程中，你将可以学习到模式匹配中的常量模式、通配模式和变量模式等，以及如何进行模式限定修饰和重叠模式的定义和正确定义可选项。,266,Scala 专题教程 - Case Class和模式匹配
会员,ActionBar（活动条）是用于显示应用图标和Activity标题的一个组件，通常位于Android应用顶部的标题栏位置。在本实验中，你可以学习到如何启用ActionBar、在其中显示菜单并设置导航功能等要点。,42,Android小案例 - ActionBar
free,Go by Example 是一个实践性的教程，通过带注释的程序实例去学习 Go 语言。课程来自everyx翻译的版本：http://gobyexample.everyx.in/,1529,Go by Example 中文版
会员,本课程以链家的二手房网站为目标，使用python爬取链家官网在售的二手房信息，并且使用matplotlib 绘图包对爬取的信息进行分析，绘制简单的图表。,194,python 二手房信息爬取与数据呈现
会员,想把Linux用作桌面系统，其中一部分障碍就是Linux上没有像有道一样简单易用的词典。其实开发一款桌面词典也没用我们想象的那么难。本课程将通过三个例子来介绍 GTK 与 WebView 基础知识，并在最后完成一个简单好用的桌面词典。本课程难度中等，属于python中等的项目课程，需要有 Python 基础。但是学习曲线相对平滑，有三个例子做铺垫。不需要有 GTK 和 webview 的知识即可上手。,733,Linux桌面词典
会员,利用PyQt给妹子图网的爬虫做一个交互界面，从而对PyQt做界面有初步了解，学会如何生成图片预览、表单操作等。,731,给Python3爬虫做一个界面.妹子图网实战
free,2015 年末，苹果公司正式在 GitHub 上将 Swift 开源，如今 Swift 已经迈入了第三个大版本，随着其特性的逐渐稳定，本教程将在 Linux 环境下从零开始向你介绍 Swift 3 这门新兴的编程语言。,1816,深入浅出 Swift 3
会员,本项目在 Linux 环境下使用 C 语言多线程模型实现了排序算法，通过该项目的学习，可以理解并实践 Linux 环境的编程基础及多线程模型。,377,C 语言实现多线程排序
会员,根据九宫格盘面上的已知数字，推理出所有剩余空格的数字，并满足每一行、每一列、每一个区块(3 * 3)内的数字均含1-9，并且不重复。还记得曾经你在玩数独游戏的时候到底用掉了多少草稿纸吗？可想过用程序来解决这个难题。本课程将用python实现一个数独游戏的生成并求解，第一个实验实现数独题目的生成，第二个实验完成数独游戏的求解。主要使用Python语法知识完成本次实验，让大家熟悉和巩固Python知识，并学以致用。,876,数独游戏的Python实现与破解
会员,本课程将介绍线程相关的基础概念、高级话题以及同步和互斥三大主题，每个实验部分都通过一个实例学习Linux下的多线程编程相关技巧。并通过实践的代码案例让大家对Linux多线程编程有更深刻的认识和感受，达到初步掌握理解Linux多线程编程相关基础知识的目的。课程来源于作者学习阅读《Linux/UNIX系统编程手册》后归纳总结的精华笔记。,1776,Linux多线程编程入门指南
会员,通过本节课程来认识防火墙，了解 iptables，灵活运用。保护我们的服务器，守护我们的隐私数据。以 SYN flood、CC 攻击实例见证 iptables 保护的强大力量 ,519,Linux 防火墙技术
free,本课程是MOOC课程《Linux 内核分析》的配套实验，可以带您用理论结合实践的方法一步一步抓住Linux内核最核心的部分代码，理解Linux操作系统运行的基本过程及涉及的核心机制。,7604,Linux内核分析
会员,本课程带领大家实现经典小游戏扫雷的网页版，通过学习该课程，可以实践 JavaScript 和 CSS 等基本的 Web 开发知识，学习如何对游戏中的对象进行抽象、封装。,1021,网页版扫雷
会员,本实验将带你实现Android手机上的一些补间动画效果。实验中你将会学到如何使用资源文件和参数来定义不同的动画效果。,80,Android小案例 - 补间动画
会员,监督学习（英语：Supervised learning）是机器学习中最为常见、应用最为广泛的分支之一。本次实验将带你了解监督学习，并学会使用 scikit-learn 提供的各类监督学习方法解决实际问题。,222,scikit-learn 实战之监督学习
free,Hibernate 是一个开源的对象关系映射框架，对JDBC进行了非常轻量级的对象封装，使得Java程序员可以随心所欲的使用对象编程思维来操纵数据库。 Hibernate 可以应用在任何使用JDBC的场合。本次课程详细介绍了 Hibernate 框架结构知识，并通过多个基础的 Demo 实例讲解了 Hibernate 的用法。难度中等，适合具有 Java 基础的同学学习框架。,4908,Hibernate框架教程
会员,Shell 是一个用 C 语言编写的程序，这个应用程序提供了一个界面，用户通过这个界面访问操作系统内核的服务，是用户使用 Linux 内核的桥梁。本次课程将通过 Python 来实现一个简易的 Shell。,5276,Python 实现简易 Shell
会员,本次课程的实验项目是使用Spring+Spring MVC+mybaits框架实现简单的项目进度管理系统，旨在帮助大家巩固SSM框架的使用，难度适中，但需要大家对SSM框架有一定的了解。,324,Java实现简单的项目进度管理系统
会员,本课程我们将使用 Python 3 打造 Markdown 文本解析器，并且程序支持输出 HTML 格式与 PDF 格式的文件。,2380,Python 3 实现 Markdown 解析器
会员,本课程将使用PHP基于微信公众平台的API开发一个简易的公众号SDK，封装常用的公众号API接口。本课程既有大量的理论介绍，也具有详细的代码编写流程，通过本课程的学习，可以从一个开发者的角度了解微信公众号运行流程，数据处理与交互过程，为后续公众号开发打下基础。,907,PHP微信公众号接口开发
训练营,本课程将在实验楼环境中实现完整的仿新浪微博的项目，学习使用 PHP 最热的 Web 框架 Laravel 构建应用。在项目实战中，入门并掌握 Laravel 的基本用法，学习 HTML、CSS、JavaScript、PHP 和 Bootstrap 等知识，同时实践 Git 工作流、Gulp 前端工作流等开发方法。,449,Laravel 项目实战：仿新浪微博Web应用
会员,如果你使用 Python 语言进行科学计算，那么一定会接触到 Numpy。Numpy 是支持 Python 语言的数值计算扩充库，其拥有强大的高维度数组处理与矩阵运算能力。除此之外，Numpy 还内建了大量的函数，方便你快速构建数学模型。,427,Numpy 使用教程
free,本课程将通过理解一个操作类似于 Redis，存储理念来自于 CouchDB 的键值数据库的源代码来学习如何做数据库的数据存储，体会使用不可变数据结构的优点。,2435,Python实现键值数据库
free,本课程最终将基于BP神经网络实现一个手写字符识别系统，系统会在服务器启动时自动读入训练好的神经网络文件，如果文件不存在，则读入数据集开始训练，用户可以通过在html页面上手写数字发送给服务器来得到识别结果。,4759,神经网络实现手写字符识别系统
会员,Spark Streaming 是 Spark 引擎的一种扩展，适用于实时处理流式数据。本课程将带你学习 Spark Streaming 的工作机制，了解 Streaming 应用的基本结构，以及如何在 Streaming 应用中附加 SQL 查询。本课程难度为一般，属于初级级别课程，适合具有 Spark 基础的用户，熟悉 Spark Streaming 的工作机制。,430,Spark 基础之 Streaming 快速上手
会员,Sequelize 是一个 Node.js 平台基于 Promise 的ORM。用于操作管理 MySQL、Postgres、SQLite 等关系型数据库。本课程主要学习使用 Sequelize 操作 MySQL 数据库。Sequelize 官方文档：http://docs.sequelizejs.com/en/latest/,71,Node.js使用Sequelize操作MySQL
会员,微信朋友圈里的红包照片，还有 ios7 带来的“毛玻璃”菜单效果都很吸引眼球，这次我们就尝试用熟悉的 CSS3 来实现这个效果,598,CSS3实现“红包照片”模糊效果
free,本教程介绍如何一步步使用 Django 开发一个简单的博客 Web应用，涉及 Django Web开发，MVC，Template等知识点，适用于有 Python 和 Django 基础的同学。,7816,Django 搭建简易博客
